release_id,artist,album,genre,style,year,original_year,reissue,edition,color,country,date_added,cover_path,cover_source
32117322,Gavin Friday,Ecce Homo,"Electronic, Rock, Pop","Avantgarde, Synth-pop",2024,2024,,Limited,Blue Transparent,"UK, Europe & US",2025-10-30T12:55:42-07:00,covers/32117322.jpg,cached
22461616,Ghost,Impera,Rock,"Heavy Metal, Psychedelic Rock, Hard Rock, Doom Metal",2022,2022,,,,Europe,2026-06-02T08:53:28-07:00,covers/22461616.jpg,cached
33793572,Ghost,Skeletá,Rock,"Heavy Metal, Hard Rock",2025,2025,,,,Europe,2025-07-27T14:44:10-07:00,covers/33793572.jpg,cached
35405842,Ghost,Meliora (10th Anniversary Edition),Rock,"Hard Rock, Heavy Metal",2025,2015,Reissue,"Deluxe, Limited",Neon Green,USA & Europe,2026-04-21T12:49:06-07:00,covers/35405842.jpg,cached
4529587,Ghost B.C.,Infestissumam,Rock,"Hard Rock, Heavy Metal",2013,2013,,,Red Translucent,Europe,2026-06-17T15:48:36-07:00,covers/4529587.jpg,cached
10720513,Ghostpoet,Dark Days + Canapés,"Electronic, Hip Hop, Rock, Non-Music","Abstract, Indie Rock, Trip Hop, Spoken Word",2017,2017,,Limited,White,UK,2026-01-21T16:14:45-08:00,covers/10720513.jpg,cached
21369217,Ghostpoet,Shedding Skin,"Electronic, Hip Hop","Trip Hop, Abstract",2021,2015,Reissue,Limited,Purple,Europe,2026-02-27T11:08:08-08:00,covers/21369217.jpg,cached
11945675,Godspeed You Black Emperor!,F♯ A♯ ∞,Rock,Post Rock,2018,1997,Reissue,,,Canada,2026-03-18T16:00:10-07:00,covers/11945675.jpg,cached
12404453,Godspeed You Black Emperor!,Lift Your Skinny Fists Like Antennas To Heaven,Rock,"Post Rock, Avantgarde",2018,2000,Reissue,,,Canada,2026-02-27T11:10:00-08:00,covers/12404453.jpg,cached
20492698,Godspeed You Black Emperor!,Slow Riot For New Zero Kanada E.P.,Rock,Post Rock,,1999,Repress,,,"USA, Canada & Europe",2026-01-12T04:54:32-08:00,covers/20492698.jpg,cached
12247022,Godspeed You! Black Emperor,Yanqui U.X.O.,Rock,"Post Rock, Avantgarde",2018,2002,Reissue,,,Canada,2026-04-21T12:47:26-07:00,covers/12247022.jpg,cached
18496924,Gojira,Fortitude,Rock,"Technical Death Metal, Progressive Metal",2021,2021,,,,Europe,2025-04-26T06:18:38-07:00,covers/18496924.jpg,cached
28268467,Gum,Saturnia,Rock,"Alternative Rock, Indie Rock",2023,2023,,,Clear,Australia,2025-11-18T13:49:15-08:00,covers/28268467.jpg,cached
1934697,Gus Gus,24/7,Electronic,"House, Abstract, Electro, Minimal",2009,2009,,,,Germany,2025-12-21T07:09:02-08:00,covers/1934697.jpg,cached
5811297,Gus Gus,Mexico,Electronic,"Progressive House, House, Tech House",2014,2014,,,,Germany,2026-04-10T07:24:44-07:00,covers/5811297.jpg,cached
19451155,Gus Gus,Mobile Home,Electronic,"House, Electro",2021,2021,,,,Europe,2025-03-10T14:51:19-07:00,covers/19451155.jpg,cached
18469045,Gusgus,Arabian Horse,Electronic,"Progressive House, House, Tech House",2021,2011,Repress,,,Europe,2026-04-18T10:34:58-07:00,covers/18469045.jpg,cached
31638970,IAMX,Fault Lines²,Electronic,"Electro, Synth-pop, Dark Ambient, IDM",2024,2024,,,,Worldwide,2026-06-11T09:09:24-07:00,covers/31638970.jpg,cached
13149191,Ian Brown,Ripples,"Electronic, Rock",Alternative Rock,2019,2019,,,,UK,2026-06-08T11:58:51-07:00,covers/13149191.jpg,cached
